date,open_index,close_index,side,days,pnl,open_date,close_date
0,59,61,SHORT,2,-0.012610310035873248,2023-03-02,2023-03-06
1,62,63,LONG,1,-0.014673536994177477,2023-03-07,2023-03-08
2,65,66,LONG,1,-0.019851881486773,2023-03-10,2023-03-13
3,69,70,SHORT,1,-0.02056928623143745,2023-03-16,2023-03-17
4,71,74,LONG,3,-0.013994617203192793,2023-03-20,2023-03-23
5,75,76,LONG,1,-0.013158000779068348,2023-03-24,2023-03-27
6,78,79,SHORT,1,-0.01637316708451997,2023-03-29,2023-03-30
7,80,81,SHORT,1,-0.025755048984040907,2023-03-31,2023-04-03
8,85,86,LONG,1,-0.01454073489630769,2023-04-07,2023-04-10
9,87,88,LONG,1,-0.020990868493208012,2023-04-11,2023-04-12
10,90,91,SHORT,1,-0.021346834093716457,2023-04-14,2023-04-17
11,92,93,LONG,1,-0.015238390972757424,2023-04-18,2023-04-19
12,95,96,LONG,1,-0.01651940920301463,2023-04-21,2023-04-24
13,97,98,LONG,1,-0.015869633770503967,2023-04-25,2023-04-26
14,100,101,LONG,1,-0.014784616010696097,2023-04-28,2023-05-01
15,107,108,SHORT,1,-0.01553354639531188,2023-05-09,2023-05-10
16,112,113,LONG,1,-0.015158045413248413,2023-05-16,2023-05-17
17,115,117,SHORT,2,-0.03172403394408023,2023-05-19,2023-05-23
18,118,120,SHORT,2,-0.027023266890371163,2023-05-24,2023-05-26
19,121,123,SHORT,2,-0.029438557427958804,2023-05-29,2023-05-31
20,126,127,LONG,1,-0.016412209862265575,2023-06-05,2023-06-06
21,128,129,SHORT,1,-0.01796556234006492,2023-06-07,2023-06-08
22,130,131,SHORT,1,-0.01595335749365216,2023-06-09,2023-06-12
23,133,134,LONG,1,-0.016293714889768357,2023-06-14,2023-06-15
24,137,138,LONG,1,-0.02262240639990845,2023-06-20,2023-06-21
25,140,141,SHORT,1,-0.021566041648826743,2023-06-23,2023-06-26
26,142,143,SHORT,1,-0.01595880427075959,2023-06-27,2023-06-28
27,144,145,LONG,1,-0.01743170590041715,2023-06-29,2023-06-30
28,146,147,SHORT,1,-0.020515772698883463,2023-07-03,2023-07-04
29,148,149,LONG,1,-0.024272262120504467,2023-07-05,2023-07-06
30,150,151,LONG,1,-0.019715163569467356,2023-07-07,2023-07-10
31,152,153,LONG,1,-0.012535004562707272,2023-07-11,2023-07-12
32,154,155,LONG,1,-0.01827025824770183,2023-07-13,2023-07-14
33,156,157,LONG,1,-0.017931759459936518,2023-07-17,2023-07-18
34,159,161,LONG,2,-0.007154222559910929,2023-07-20,2023-07-24
35,163,164,SHORT,1,-0.016904178841361618,2023-07-26,2023-07-27
36,166,167,LONG,1,-0.019170294110803125,2023-07-31,2023-08-01
37,168,169,LONG,1,-0.02037164566413795,2023-08-02,2023-08-03
38,170,171,LONG,1,-0.01819022198372016,2023-08-04,2023-08-07
39,172,173,LONG,1,-0.012738147193037466,2023-08-08,2023-08-09
40,177,178,LONG,1,-0.0155508850056582,2023-08-15,2023-08-16
41,179,181,SHORT,2,-0.012261721232743186,2023-08-17,2023-08-21
42,182,184,LONG,2,-0.01950351770193539,2023-08-22,2023-08-24
